
 hhqi                  'Household questionnaire number'                                                  
 w1_a_k6               'k6 - Respondent felt fearful'                                                    
 w1_a_k7               'k7 - Respondent's sleep was restless'                                            
 w1_a_k8               'k8 - Respondent was happy'                                                       
 w1_a_k9               'k9 - Respondent felt lonely'                                                     
 w1_a_k10              'k10 - Respondent could not get going'                                            
 w1_a_l1_1             'l1_1 - Main decision-maker about day-to-day household expenditure'               
 w1_a_l2_1             'l2_1 - Joint decision-maker about day-to-day household expenditure'              
 w1_a_l1_2             'l1_2 - Main decision-maker about large unusual purchases'                        
 w1_a_l2_2             'l2_2 - Joint decision-maker about large unusual large purchases'                 
 w1_a_l1_3             'l1_3 - Main decision-maker about where children go to school'                    
 w1_a_l2_3             'l2_3 - Joint decision-maker about where children go to school'                   
 w1_a_l1_4             'l1_4 - Main decision-maker about who is allowed to live in household'            
 w1_a_l2_4             'l2_4 - Joint decision-maker about who is allowed to live household'              
 w1_a_l1_5             'l1_5 - Main decision-maker about where household should live'                    
 w1_a_l2_5             'l2_5 - Joint decision-maker about where household lives'                         
 w1_a_m1               'm1 - Preference to continue living in current area'                              
 w1_a_m2               'm2 - Income classification of household'                                         
 w1_a_m3_1             'm3_1 - Income step of household when 15 years-old'                               
 w1_a_m3_2             'm3_2 - Income step of household today'                                           
 w1_a_m3_3             'm3_3 - Income step of household in 2 years time'                                 
 w1_a_m3_4             'm3_4 - Income step of household in 5 years time'                                 
 w1_a_m4               'm4 - Expected income of household in 5 years time'                               
 w1_a_m5               'm5 - Satisfaction level of life currently'                                       
 w1_a_m6               'm6 - Level of happiness in comparison to 10 years ago'                           
 w1_a_m7               'm7 - Importance of religious activities in life'                                 
 w1_a_m8               'm8 - Religious affiliation of respondent'                                        
 w1_a_m9_1             'm9_1 - Membership of a stokvel'                                                  
 w1_a_m9_2             'm9_2 - Membership of a burial society'                                           
 w1_a_m9_3             'm9_3 - Membership of community garden group'                                     
 w1_a_m9_4             'm9_4 - Membership of farmer's association'                                       
 w1_a_m9_5             'm9_5 - Membership of sewing group'                                               
 w1_a_m9_6             'm9_6 - Membership of sports group'                                               
 w1_a_m9_7             'm9_7 - Membership of study group'                                                
 w1_a_m9_8             'm9_8 - Membership of singing or music group'                                     
 w1_a_m9_9             'm9_9 - Membership of youth group'                                                
 w1_a_m9_10            'm9_10 - Membership of  informal traders group'                                   
 w1_a_m9_11            'm9_11 - Membership of men's association'                                         
 w1_a_m9_12            'm9_12 - Membership of women's association'                                       
 w1_a_m9_13            'm9_13 - Membership of school committee'                                          
 w1_a_m9_14            'm9_14 - Membership of water committee'                                           
 w1_a_m9_15            'm9_15 - Membership of development committee'                                     
 w1_a_m9_16            'm9_16 - Membership of tribal authority'                                          
 w1_a_m9_17            'm9_17 - Membership of other group'                                               
 w1_a_m9_18            'm9_18 - Membership of religious society'                                         
 w1_a_m10              'm10 - Likeliness of neighbour returning wallet containing R200'                  
 w1_a_m11              'm11 - Likeliness of stranger returning wallet containing R200'                   
 w1_a_n1_1             'n1_1 - Height measure one'                                                       
 w1_a_n1_2             'n1_2 - Height measure two'                                                       
 w1_a_n1_3             'n1_3 - Height measure three'                                                     
 w1_a_n2_1             'n2_1 - Weight measure one'                                                       
 w1_a_n2_2             'n2_2 - Weight measure two'                                                       
 w1_a_n2_3             'n2_3 - Weight measure three'                                                     
 w1_a_n3_1             'n3_1 - Waist measure one'                                                        
 w1_a_n3_2             'n3_2 - Waist measure two'                                                        
 w1_a_n3_3             'n3_3 - Waist measure three'                                                      
 w1_a_n4_1             'n4_1 - Blood Pressure: Systolic - 1'                                             
 w1_a_n4_1_2           'n4_1_2 - Blood Pressure: Diastolic - 1'                                          
 w1_a_n4_1_3           'n4_1_3 - Blood Pressure: Pulse - 1'                                              
 w1_a_n4_2_1           'n4_2_1 - Blood Pressure: Systolic - 2'                                           
 w1_a_n4_2_2           'n4_2_2 - Blood Pressure: Diastolic - 2'                                          
 w1_a_n4_2_3           'n4_2_3 - Blood Pressure: Pulse - 5'                                              
 w1_a_numtest          '- - Did the respondent do numeracy test'                                         
 w1_a_numid            'p4 - Numeracy test questionnaire number'                                         
 w1_a_level            'p3 - Numeracy test level'                                                        
 w1_a_q1               'p_q1    - Num Test'                                                              
 w1_a_q2               'p_q2    - Num Test'                                                              
 w1_a_q3               'p_q3    - Num Test'                                                              
 w1_a_q4               'p_q4    - Num Test'                                                              
 w1_a_q5               'p_q5    - Num Test'                                                              
 w1_a_q6               'p_q6    - Num Test'                                                              
 w1_a_q7               'p_q7    - Num Test'                                                              
 w1_a_q8               'p_q8    - Num Test'                                                              
 w1_a_q9               'p_q9    - Num Test'                                                              
 w1_a_q10              'p_q10   - Num Test'                                                              
 w1_a_q11              'p_q11   - Num Test'                                                              
 w1_a_q12              'p_q12   - Num Test'                                                              
 w1_a_q13              'p_q13   - Num Test'                                                              
 w1_a_q14              'p_q14   - Num Test'                                                              
 w1_a_q15              'p_q15   - Num Test'                                                              
 w1_a_r1               'r1 - What is the likelihood that you will move during the next two years?'       
 w1_a_r35              'r35 - Interview end time'                                                        
 merge3                 (none)                                                                           
 w1_c_a4               'a4 - Pcode for child'                                                            
 w1_c_phase            '- - Phase in Wave'                                                               
 w1_c_a14              'a14 - Respondent’s Relationship to Child'                                        
 w1_c_a15              'a15 - Respondent’s Pcode '                                                       
 w1_c_intview_est      'c - Interviewer Code Imputed'                                                    
 w1_c_intview_code     'c - Interviewer Code'                                                            
 w1_c_a17_m            'a17_m - Interview _month'                                                        
 w1_c_a17_y            'a17_y - Interview _year'                                                         
 w1_c_a18              'a18 - Interview start time'                                                      
 w1_c_a24              'a24 - Refusal reason'                                                            
 w1_c_a25              'a25 - Degree of interaction with person refusing'                                
 w1_c_b1               'b1 - Gender'                                                                     
 w1_c_b2               'b2 - Population group'                                                           
 w1_c_b3               'b3 - Home language'                                                              
 w1_c_b4               'b4 - No. of nights spent under roof (Week)'                                      
 w1_c_b5               'b5 - No. of nights spent under roof (Month)'                                     
 w1_c_b6               'b6 - Year of move to current location'                                           
 w1_c_b7_3             'b7_3 - Province of birth'                                                        
 w1_c_b7_dc            'b7_dc - District Council of Birth'                                               
 w1_c_b7_cc            'b7_cc - Country of Birth'                                                        
 w1_c_b8_3             'b8_3 - Province before current location'                                         
 w1_c_b8_dc            'b8_dc - District Council before current location'                                
 w1_c_b8_cc            'b8_cc - Country before current location'                                         
 w1_c_b9_3             'b9_3 - Province in  February 2006'                                               
 w1_c_b9_dc            'b9_dc - District Council in  February 2006'                                      
 w1_c_b9_cc            'b9_cc - Country in  February 2006'                                               
 w1_c_c2               'c2 - The child currently attends'                                                
 w1_c_c3               'c3 - Has this child ever attended school'                                        
 w1_c_c6               'c6 - Highest school grade completed'                                             
 w1_c_c7               'c7 - Year child first attended Sub A./Gr. One'                                   
 w1_c_c8               'c8 - Attendence of pre-primary before Sub A./Gr. One'                            
 w1_c_c9               'c9 - Has the child ever repeated a grade'                                        
 w1_c_c10_g1           'c10_g1 - The child failed grade '                                                
 w1_c_c10_1            'c10_1 - Number of times child failed grade   '                                   
 w1_c_c10_g2           'c10_g2 - The child failed grade   '                                              
 w1_c_c10_2            'c10_2 - Number of times child failed grade   '                                   
 w1_c_c10_g3           'c10_g3 - The child failed grade   '                                              
 w1_c_c10_3            'c10_3 - Number of times child failed grade   '                                   
 w1_c_c10_g4           'c10_g4 - The child failed grade   '                                              
 w1_c_c10_4            'c10_4 - Number of times child failed grade   '                                   
 w1_c_c11              'c11 - Child attended school in 2007'                                             
 w1_c_c12              'c12 - Main reason child was not enrolled in 2007'                                
 w1_c_c13_1            'c13_1 - Amount spent on School fees'                                             
 w1_c_c13_2            'c13_2 - Amount spent Uniform'                                                    
 w1_c_c13_3            'c13_3 - Amount spent on Books and Stationery'                                    
 w1_c_c13_4            'c13_4 - Amount spent on Transport to school'                                     
 w1_c_c13_5            'c13_5 - Amount spent on other school related expenses'                           
 w1_c_c14_p1           'c14_p1 - Pcode of Person who paid educational expenses in 2007 - 1'              
 w1_c_c14_r1           'c14_r1 - Relationship code of Person who paid educational expenses in 2007 - 1'  
 w1_c_c14_p2           'c14_p2 - Pcode of Person who paid educational expenses in 2007 - 2'              
 w1_c_c14_r2           'c14_r2 - Relationship code of Person who paid educational expenses in 2007 – 2'  
 w1_c_c14_p3           'c14_p3 - Pcode of Person who paid educational expenses in 2007 - 3'              
 w1_c_c14_r3           'c14_r3 - Relationship code of Person who paid educational expenses in 2007 – 3'  
 w1_c_c15              'c15 - Result of child’s schooling in 2007'                                       
 w1_c_c16              'c16 - Reason for withdrawal before end of educational year'                      
 w1_c_c17              'c17 - The child is currently enrolled in school'                                 
 w1_c_c18              'c18 - Reason for not enrolling in 2008'                                          
 w1_c_c19              'c19 - Level child is currently enrolled in'                                      
 w1_c_c20_1a           'c20 - What is the usual mode of transport to school? 1st Answer'                 
 w1_c_c20_2a           'c20 - What is the usual mode of transport to school? 2nd Answer'                 
 w1_c_c21              'c21 - Time taken to reach school'                                                
 w1_c_c22              'c22 - Number of learners in child’s classroom'                                   
 w1_c_c23              'c23 - Number of days child was absent from school,month'                         
 w1_c_d1               'd1 - Perceived Health Status'                                                    
 w1_c_d2               'd2 - Location of child’s birth'                                                  
 w1_c_d3               'd3 - The child has a birth certificate'                                          
 w1_c_d4               'd4 - The child has a clinic card'                                                
 w1_c_d5_1_m           'd5_1 - Date of birth - month only'                                               
 w1_c_d5_1_y           'd5_1 - Date of birth - year only'                                                
 w1_c_best_age_yrs     'Best age in years'                                                               
 w1_c_d5_2             'd5_2.What was the source of information for the child s date of birth?'          
 w1_c_d6_g             'd6_g - Weight at birth, grams'                                                   
 w1_c_d6_k             'd6_k - Weight at birth, kilograms'                                               
 w1_c_d6_2             'd6_2 - Source of Information for weight at birth'                                
 w1_c_d7               'd7 - Head circumference at birth (cm)'                                           
 w1_c_d7_2             'd7_2 - Source of Information for Head circumference at birth'                    
 w1_c_d8_1             'd8_1 - Doctor was present at child's birth'                                      
 w1_c_d8_2             'd8_2 - Sister/Nurse was present at child’s birth'                                
 w1_c_d8_3             'd8_3 - Traditional birth attendant/Midwife/Doula was present at child’s birth'   
 w1_c_d8_4             'd8_4 - Family or friends were present at child’s birth'                          
 w1_c_d9               'd9 - The child has/had any serious illnesses or disabilities'                    
 w1_c_d10_1a           'd10 - What is the main serious illness or disability? 1st answer'                
 w1_c_d10_2a           'd10 - What is the main serious illness or disability? 2nd answer'                
 w1_c_d10_3a           'd10 - What is the main serious illness or disability? 3rd answer'                
 w1_c_d11              'd11 - The child was born with this illness or disabilty'                         
 w1_c_d12              'd12 - Number of times health profressional was consulted in last 12 months'      
 w1_c_d13              'd13 - The child has been ill for at least 3 days in the last month'              
 w1_c_d14              'd14 - Child was taken to healthcare facility'                                    
 w1_c_d17              'd17 - Reason why no health facilty was consulted'                                
 w1_c_d18              'd18 - Child has had their eyes tested'                                           
 w1_c_d19              'd19 - Child wears glasses/contact lenses'                                        
 w1_c_d20              'd20 - The child is covered by medical aid'                                       
 w1_c_d21_p            'd21_p - Pcode of person who pays for medical aid'                                
 w1_c_d21_r            'd21_r - Relationship code of person who pays for medical aid'                    
 w1_c_e1               'e1 - Pcode of person responsible for care of child'                              
 w1_c_e2               'e2 - Relationship code of person responsible for care of child'                  
 w1_c_e3_1a            'e3 - Who else helps care for the child? 1st answer'                              
 w1_c_e3_2a            'e3 - Who else helps care for the child? 2nd answer'                              
 w1_c_e3_3a            'e3 - Who else helps care for the child? 3rd answer'                              
 w1_c_e3_4a            'e3 - Who else helps care for the child? 4th answer'                              
 w1_c_e3_5a            'e3 - Who else helps care for the child? 5th answer'                              
 w1_c_e3_6a            'e3 - Who else helps care for the child? 6th answer'                              
 w1_c_e3_7a            'e3 - Who else helps care for the child? 7th answer'                              
 w1_c_e3_8a            'e3 - Who else helps care for the child? 8th answer'                              
 w1_c_e3_9a            'e3 - Who else helps care for the child? 9th answer'                              
 w1_c_e3_10a           'e3 - Who else helps care for the child? 10th answer'                             
 w1_c_e4               'e4 - Relationship between parents of child'                                      
 w1_c_e5_1             'e5_1 - Biological Mother is alive'                                               
 w1_c_e6_1             'e6_1 - Biological Mother's age at death'                                         
 w1_c_e7_1             'e7_1 - Biological Mother’s Year of death'                                        
 w1_c_e8_1             'e8_1 - Death of Mother before respondent was 5 years'                            
 w1_c_e9_1             'e9_1 - Mother is resident'                                                       
 w1_c_e10_1            'e10_1 - How often does the Mother see the child'                                 
 w1_c_e11_1            'e11_1 - The Mother supports the child financially'                               
 w1_c_e12_1            'e12_1 - Amount of last payment recieved'                                         
 w1_c_e13_1            'e13_1 - Mother’s Year of  birth'                                                 
 w1_c_e14_1            'e14_1 - Mother’s Highest school grade'                                           
 w1_c_e15_1            'e15_1 - Mother completed higher education'                                       
 w1_c_e16_1            'e16_1 - Mother’s level of Higher Education'                                      
 w1_c_e17m_code        'e17_1 - Occupational Codes of Mother'                                            
 w1_c_e5_2             'e5_2 - Biological Father is alive'                                               
 w1_c_e6_2             'e6_2 - Biological Father's age at death'                                         
 w1_c_e7_2             'e7_2 - Biological Father’s Year of death'                                        
 w1_c_e8_2             'e8_2 - Death of Father before respondent was 5 years'                            
 w1_c_e9_2             'e9_2 - Father is resident'                                                       
 w1_c_e10_2            'e10_2 - How often does the Father see the child'                                 
 w1_c_e11_2            'e11_2 - The Father supports the child financially'                               
 w1_c_e12_2            'e12_2 - Amount of last payment recieved'                                         
 w1_c_e13_2            'e13_2 - Father’s Year of  birth'                                                 
 w1_c_e14_2            'e14_2 - Father’s Highest school grade'                                           
 w1_c_e15_2            'e15_2 - Father completed higher education'                                       
 w1_c_e16_2            'e16_2 - Father’s level of Higher Education'                                      
 w1_c_e17f_code        'e17_2 - Occupational Codes of Father'                                            
 w1_c_f1               'f1 - The household receives a child related social grant'                        
 w1_c_f2               'f2 - Type of grant'                                                              
 w1_c_f3_1             'f3_1 - Pcode of person receiving social grant'                                   
 w1_c_f3_2             'f3_2 - Relationship code of person receiving social grant'                       
 w1_c_f4_m             'f4 - Date grant was first received -  month only'                                
 w1_c_f4_y             'f4 - Date grant was first received - year only'                                  
 w1_c_f5               'f5 - A child support grant was received on behalf of the child'                  
 w1_c_f6_m             'f6 - Date grant was first received -  month only'                                
 w1_c_f6_y             'f6 - Date grant was first received - year only'                                  
 w1_c_f7_m             'f7 - Date grant was stopped -  month only'                                       
 w1_c_f7_y             'f7 - Date grant was stopped- year only'                                          
 w1_c_f8               'f8 - A child support grant was applied for on behalf of the child'               
 w1_c_f9_1             'f9 - Reason for no application of child support grant'                           
 w1_c_f10_m            'f10 - Date of application for grant -  month only'                               
 w1_c_f10_y            'f10 - Date of application for grant - year only'                                 
 w1_c_f11              'f11 - Result of application for child support grant'                             
 w1_c_f12_1            'f12 - Reasons given for child support grant being refused'                       
 w1_c_g3               'g3 - The child agrees to be measured'                                            
 w1_c_g4_1             'g4_1 - Height measure one (cm)'                                                  
 w1_c_g4_2             'g4_2 - Height measure two (cm)'                                                  
 w1_c_g4_3             'g4_3 - Height measure three (cm)'                                                
 w1_c_g5_1             'g5_1 - Weight measure one (kg)'                                                  
 w1_c_g5_2             'g5_2 - Weight measure two (kg)'                                                  
 w1_c_g5_3             'g5_3 - Weight measure three (kg)'                                                
 w1_c_g7_1             'g7_1 - Waist measure one (cm)'                                                   
 w1_c_g7_2             'g7_2 - Waist measure two (cm)'                                                   
 w1_c_numtest          'h - Did this respondent complete a numeracy test?'                               
 w1_c_numid            'h4 - Numeracy questionnaire number'                                              
 w1_c_numlv            '--Numeracy questionnaire number'                                                 
 w1_c_q1               'h_q1 - Num Test'                                                                 
 w1_c_q2               'h_q2 - Num Test'                                                                 
 w1_c_q3               'h_q3 - Num Test'                                                                 
 w1_c_q4               'h_q4 - Num Test'                                                                 
 w1_c_q5               'h_q5 - Num Test'                                                                 
 w1_c_q6               'h_q6 - Num Test'                                                                 
 w1_c_q7               'h_q7 - Num Test'                                                                 
 w1_c_q8               'h_q8 - Num Test'                                                                 
 w1_c_q9               'h_q9 - Num Test'                                                                 
 w1_c_q10              'h_q10 - Num Test'                                                                
 w1_c_q11              'h_q11 - Num Test'                                                                
 w1_c_q12              'h_q12 - Num Test'                                                                
 w1_c_q13              'h_q13 - Num Test'                                                                
 w1_c_q14              'h_q14 - Num Test'                                                                
 w1_c_q15              'h_q15 - Num Test'                                                                
 w1_c_r2               'r2 - Adult questionnaire number'                                                 
 w1_c_r3               'r3 - Pcode of respondent'                                                        
 w1_c_r4               'r4 - Likelihood of relocating'                                                   
 w1_c_r38              'r38 - Interview end time'                                                        
 merge4                 (none)                                                                           
 w1_p_a4               'a4 - Pcode for unavailable adult'                                                
 w1_p_phase            '- - Phase in Wave'                                                               
 w1_p_a15              'a15 - Proxy respondent’s Relationship to unavailable adult'                      
 w1_p_a16              'a16 - Proxy respondent’s Pcode '                                                 
 w1_p_intview_code     'a - Interviewer Code'                                                            
 w1_p_intview_est      'a - Interviewer Code Imputed'                                                    
 w1_p_a18_m            'a18_m Interview _month'                                                          
 w1_p_a18_y            'a18_y Interview _year'                                                           
 w1_p_a19              'a19 - Interview start time'                                                      
 w1_p_a25              'a25 - Reason for conducting a proxy'                                             
 w1_p_b1_m             'b1 - Date of birth - month only'                                                 
 w1_p_b1_y             'b1 - Date of birth - year only'                                                  
 w1_p_best_age_yrs     'Best age in years'                                                               
 w1_p_b2               'b2 - Gender'                                                                     
 w1_p_b3               'b3 - Population group'                                                           
 w1_p_b4               'b4 - Home language'                                                              
 w1_p_b5               'b5 - Marital Status'                                                             
 w1_p_b6               'b6 - Nr of nights spent under roof (Week)'                                       
 w1_p_b7               'b7 - Nr of nights spent under roof (Month)'                                      
 w1_p_b8               'b8 - Year of move to current location in'                                        
 w1_p_b9_3             'b9_3 - Province of birth'                                                        
 w1_p_b9_dc            'b9_dc - District Council of Birth'                                               
 w1_p_b9_cc            'b9_cc - Country of Birth'                                                        
 w1_p_b10_3            'b10_3 - Province before current location'                                        
 w1_p_b10_dc           'b10_dc - District Council before current location'                               
 w1_p_b10_cc           'b10_cc - Country before current location'                                        
 w1_p_b11_3            'b11_3 - Province before 1994'                                                    
 w1_p_b11_dc           'b11_dc - District Council before 1994'                                           
 w1_p_b11_cc           'b11_cc - Country before 1994'                                                    
 w1_p_b12_3            'b12_3 - Province in  February 2006'                                              
 w1_p_b12_dc           'b12_dc - District Council in  February 2006'                                     
 w1_p_b12_cc           'b12_cc - Country in  February 2006'                                              
 w1_p_c1               'c1 - Current activities'                                                         
 w1_p_c2_code          'c2_2 - Occupational Code'                                                        
 w1_p_c5_code          'c5_2 - Industry Code'                                                            
 w1_p_c6               'c6 - Income from job/business: Showcard'                                         
 w1_p_d1               'd1 _1 - Recipient of State (RSA) pension'                                        
 w1_p_d1_1             'd1 _2 - Amount received from State (RSA) Pension'                                
 w1_p_d2               'd2 _1 - Recipient of Private/Foreign Pension'                                    
 w1_p_d2_1             'd2 _2 - Amount received from Private/Foreign Pension'                            
 w1_p_d3               'd3 _1 - Recipient of Private retirement annuity'                                 
 w1_p_d3_1             'd3 _2 - Amount received from Private retirement annuity'                         
 w1_p_d4               'd4 _1 - Recipient of Retirement gratuity/package'                                
 w1_p_d4_1             'd4 _2 - Amount received from Retirement gratuity/package'                        
 w1_p_d5               'd5 _1 - Recipient of (Unemployment Insurance) UIF'                               
 w1_p_d5_1             'd5 _2 - Amount received from (Unemployment Insurance) UIF'                       
 w1_p_d6               'd6 _1 - Recipient of  Workmen’s compensation'                                    
 w1_p_d6_1             'd6 _2 - Amount received from Workmen’s compensation'                             
 w1_p_d7               'd7 _1 - Recipient of Disability Grant'                                           
 w1_p_d7_1             'd7 _2 - Amount received from  Disability Grant'                                  
 w1_p_d8               'd8 _1 - Recipient of Child Support Grant'                                        
 w1_p_d8_1             'd8 _2 - Amount received from Child Support Grant'                                
 w1_p_d9               'd9 _1 - Recipient of Foster Care Grant'                                          
 w1_p_d9_1             'd9 _2 - Amount received from Foster Care Grant'                                  
 w1_p_d10              'd10 _1 - Recipient of Care Dependency Grant'                                     
 w1_p_d10_1            'd10 _2 - Amount received from Care Dependency Grant'                             
 w1_p_d11              'd11 _1 - Recipient of Interest earnings'                                         
 w1_p_d11_1            'd11 _2 - Amount received from interest earnings'                                 
 w1_p_d12              'd12 _1 - Recipient of Inheritance '                                              
 w1_p_d12_1            'd12 _2 - Amount received from Inheritance'                                       
 w1_p_d13              'd13 _1 - Recipient of War Veterans Pension'                                      
 w1_p_d13_1            'd13 _2 - Amount received from War Veterans Pension'                              
 w1_p_d14              'd14 _1 - Recipient of Rental Income'                                             
 w1_p_d14_1            'd14 _2 - Amount received from Rental Income'                                     
 w1_p_d15              'd15 _1 - Recipient of Retrenchment package'                                      
 w1_p_d15_1            'd15 _2 - Amount received from Retrenchment package'                              
 w1_p_d16              'd16 _1 - Recipient of Lobola/Bride wealth'                                       
 w1_p_d16_1            'd16 _2 - Amount received from Lobola/Bride Wealth'                               
 w1_p_d17              'd17 _1 - Recipient of Gifts'                                                     
 w1_p_d17_1            'd17 _2 - Amount received from Gifts'                                             
 w1_p_d18              'd18 _1 - Recipient of loan repayment'                                            
 w1_p_d18_1            'd18 _2 - Amount received from loan repayment'                                    
 w1_p_d19              'd18 _1 - Recipient of income from Sale of household goods'                       
 w1_p_d19_1            'd19 _2 - Amount received from Sale of household goods'                           
 w1_p_d20              'd20 _1 - Recipient of other income'                                              
 w1_p_d20_1            'd20 _2 - Amount received from other income'                                      
 w1_p_e1               'e1 - Respondent’s Highest completed school grade'                                
 w1_p_e2_1             'e2_1 - Completion year of respondent’s highest grade'                            
 w1_p_e2_2             'e2_2 - Completion age of respondent’s highest grade'                             
 w1_p_e3               'e3 - Completion of Tertiary Education'                                           
 w1_p_e4               'e4 - Highest level of Tertiary Education'                                        
 w1_p_e6               'e6 - Currently enrolled in  educational institution '                            
 w1_p_e9               'e9 - Educational Level currently enrolled in '                                   
 w1_p_e11              'e11 - Subject/Program enrolled in '                                              
 w1_p_e12              'e12 - Matric is a prerequisite for current Educational institution'              
 w1_p_f1               'f1 - Perceived Health Status'                                                    
 w1_p_f2_1             'f2_1 - Diagnosed with Tuberculosis (TB)'                                         
 w1_p_f2_2             'f2_2 - Diagnosed with High blood pressure'                                       
 w1_p_f2_3             'f2_3 - Diagnosed with Diabetes'                                                  
 w1_p_f2_4             'f2_4 - Diagnosed with Stroke'                                                    
 w1_p_f2_5             'f2_5 - Diagnosed with Asthma'                                                    
 w1_p_f2_6             'f2_6 - Diagnosed with Heart problems'                                            
 w1_p_f2_7             'f2_7 - Diagnosed with Cancer'                                                    
 w1_p_f3               'f3 - Existence of other illnesses'                                               
 w1_p_f4_1             'f4_1 - Other Illness 1'                                                          
 w1_p_f4_2             'f4_2 - Other Illness 2'                                                          
 w1_p_f4_3             'f4_3 - Other Illness 3'                                                          
 w1_p_f4_4             'f4_4 - Other Illness 4'                                                          
 w1_p_f5               'f5 - Use of spectacles/contact lenses'                                           
 w1_p_f6               'f6 - Use of a hearing aid'                                                       
 w1_p_numtest          'p - Did this respondent complete a numeracy test?'                               
 w1_p_numid            'Numeracy questionnaire number'                                                   
 w1_p_level            'Numeracy test level'                                                             
 w1_p_q1               'p_q1    - Num Test'                                                              
 w1_p_q2               'p_q2    - Num Test'                                                              
 w1_p_q3               'p_q3    - Num Test'                                                              
 w1_p_q4               'p_q4    - Num Test'                                                              
 w1_p_q5               'p_q5    - Num Test'                                                              
 w1_p_q6               'p_q6    - Num Test'                                                              
 w1_p_q7               'p_q7    - Num Test'                                                              
 w1_p_q8               'p_q8    - Num Test'                                                              
 w1_p_q9               'p_q9    - Num Test'                                                              
 w1_p_q10              'p_q10   - Num Test'                                                              
 w1_p_q11              'p_q11   - Num Test'                                                              
 w1_p_q12              'p_q12   - Num Test'                                                              
 w1_p_q13              'p_q13   - Num Test'                                                              
 w1_p_q14              'p_q14   - Num Test'                                                              
 w1_p_q15              'p_q15   - Num Test'                                                              
 merge5                 (none)                                                                           
 w1_quest_typ          'Questionnaire type'                                                              
 w1_best_race          'Best race'                                                                       
 w1_best_dob_m         'Date of Birth- month only'                                                       
 w1_best_dob_y         'Date of Birth- year only'                                                        
 w1_age_intervals      '5 year age groups'                                                               
 w1_best_edu           'Best Education'                                                                  
 w1_numzscore          'Standard numeracy score'                                                         
 w1_fwag               'Monthly take home pay from main job including BRACKETS'                          
 w1_cwag               'Monthly take home pay from casual work including BRACKETS'                       
 w1_swag               'Monthly income from self-employment including BRACKETS'                          
 w1_cheq               'Monthly income from 13th cheque (i.e. 1/12 of 13th cheque)'                      
 w1_prof               'Monthly income from prof_pa from main job(i.e. 1/12 of prof_pa)'                 
 w1_extr               'Monthly income from extra payment on a piece rate basis'                         
 w1_bonu               'Monthly income from other bonuses from main job(i.e. 1/12 of other bonuses)'     
 w1_othe               'RECODE of w1_a_inco_v (f1_20a - Amount received from other income)'              
 w1_help               'Monthly income from helping friend's with their business'                        
 w1_spen               'Monthly income from state old age pension'                                       
 w1_ppen               'Monthly income from private/foriegn penion pension and retirement annuities'     
 w1_uif                'Monthly income from UIF payments'                                                
 w1_comp               'Monthly income from worker compensation payments'                                
 w1_dis                'Monthly income from disability grant payments'                                   
 w1_chld               'Monthly income from child support grant payments'                                
 w1_fost               'Monthly income from foster child grant payments'                                 
 w1_care               'Monthly income from care dependency grant payments'                              
 w1_indi               'Monthly income from interest/dividends'                                          
 w1_inhe               'Monthly income from inheritances'                                                
 w1_rnt                'Monthly income from rentals'                                                     
 w1_retr               'Monthly income from retrenchment payments'                                       
 w1_brid               'Monthly income from lobola/bride wealth payments'                                
 w1_gift               'Monthly income from gifts'                                                       
 w1_loan               'Monthly 'income' from loan repayments'                                           
 w1_sale               'Monthly 'income' from sale of household assets'                                  
 w1_remt               'Monthly income from all remittance payments'                                     
 w1_fwag_flg           'The net wage data for this individual (INCLUDING INCOME BRACKETS) is:'           
 w1_cwag_flg           'The casual wage data for this individual (including brackets & proxies) is:'     
 w1_swag_flg           'The self-employment earnings data for this individual (including brackets & prox'
 w1_cheq_flg           'The 13th cheque data for this individual is:'                                    
 w1_prof_flg           'The profit share data for this individual is:'                                   
 w1_extr_flg           'The extra payment data for this individual is:'                                  
 w1_bonu_flg           'The other bonus data for this individual is:'                                    
 w1_othe_flg           'Monthly income from 'other' sources'                                             
 w1_help_flg           'The earning from helping a friend data for this individual is:'                  
